"year","mean_annual_precip","mean_annual_temp","mean.max.temp","species","Average_Abundance_Run_Size"
1950,143.75,8.525,13.6583333333333,"Lake sockeye",30595
1951,117.4,9.35,14.9916666666667,"Lake sockeye",13143
1952,70.6083333333333,9.60833333333333,15.1083333333333,"Lake sockeye",18910
1953,154.025,10.5333333333333,15.35,"Lake sockeye",13000
1954,134.208333333333,9.175,13.9666666666667,"Lake sockeye",24150
1955,127.733333333333,7.95,12.7416666666667,"Lake sockeye",26000
1956,120.258333333333,8.75833333333333,14.1416666666667,"Lake sockeye",14133
1957,82.1333333333333,8.975,14.5916666666667,"Lake sockeye",20647
1958,NA,NA,NA,"Lake sockeye",14097
1959,NA,NA,NA,"Lake sockeye",48461
1960,NA,NA,NA,"Lake sockeye",17689
1961,NA,NA,NA,"Lake sockeye",15428
1962,112.572727272727,10.8727272727273,15.4090909090909,"Lake sockeye",27070
1963,111.563636363636,10.35,14.8416666666667,"Lake sockeye",20571
1964,130.283333333333,9,13.1090909090909,"Lake sockeye",11143
1965,119.925,10.1,15,"Lake sockeye",2532
1966,132.966666666667,10.05,14.4166666666667,"Lake sockeye",17464
1967,128.85,10.8416666666667,15.575,"Lake sockeye",33492
1968,153.075,9.875,14.5,"Lake sockeye",25736
1969,105.15,9.65,14.3666666666667,"Lake sockeye",6739
1970,94.2,9.80833333333333,14.8583333333333,"Lake sockeye",15149
1971,145.25,9.25,13.675,"Lake sockeye",9145
1972,157.683333333333,9.14166666666667,13.925,"Lake sockeye",10660
1973,96.3666666666667,9.50833333333333,14.3166666666667,"Lake sockeye",858
1974,144.275,10.0166666666667,14.9333333333333,"Lake sockeye",9814
1975,135.666666666667,9.13333333333333,13.5416666666667,"Lake sockeye",11478
1976,116.2,10.0272727272727,14.4181818181818,"Lake sockeye",4450
1977,112.883333333333,9.925,14.625,"Lake sockeye",353
1978,102.308333333333,10.1166666666667,14.4333333333333,"Lake sockeye",7265
1979,111.991666666667,10.2916666666667,15.0916666666667,"Lake sockeye",32045
1980,152.158333333333,9.975,14.3333333333333,"Lake sockeye",1687
1981,125.518181818182,10.625,14.9833333333333,"Lake sockeye",1159
1982,123.816666666667,9.7,14.125,"Lake sockeye",17222
1983,137.133333333333,10.5083333333333,14.9333333333333,"Lake sockeye",19952
1984,158.533333333333,9.71666666666667,14,"Lake sockeye",1147
1985,101.283333333333,9.06666666666667,13.9666666666667,"Lake sockeye",571
1986,142.508333333333,10.625,15.325,"Lake sockeye",3533
1987,95.25,11.1166666666667,16.1333333333333,"Lake sockeye",32336
1988,138.675,10.4,14.9583333333333,"Lake sockeye",964
1989,168.13,8.32222222222222,12.4666666666667,"Lake sockeye",568
1990,161.4,10.7333333333333,16.12,"Lake sockeye",1870
1991,123.345454545455,11.2545454545455,15.7272727272727,"Lake sockeye",20191
1992,125.018181818182,12.3727272727273,17.7818181818182,"Lake sockeye",1205
1993,110.144444444444,10.2333333333333,14.8555555555556,"Lake sockeye",1131
1994,112.766666666667,10.1555555555556,15.0555555555556,"Lake sockeye",4422
